,0
0,has prereq
1,has prereq
2,has prereq
3,uses
4,has prereq
5,has
6,will use
7,will write
8,access
9,damage
10,should agree
11,means
12,is used for
13,can detect
14,be used as
15,analyze
16,analyze
17,can check
18,detect
19,checks
20,be written in
21,have
22,match
23,checks
24,can discard
25,has
26,forms
27,determines
28,determines
29,looks
30,has
31,verify
32,verify
33,can modify
34,has
35,detects
36,chains
37,has
38,has
39,controls
40,sends
41,is
42,installs
43,shows
44,check
45,shows
46,are located in
47,is run
48,turns
49,has
50,has
51,is set
52,sets
53,sets
54,sets
55,set
56,can sniff
57,can sniff
58,captures
59,sniffs
60,writes
61,makes
62,has
63,collects
64,sorts
65,creates
66,can read
67,can output
68,can output
69,can tell
70,can read
71,can read
72,sends
73,is add
74,is added to
75,used to
76,edits
77,is tested
78,is added to
79,can test
80,is tested
81,be edited in
82,be set as
83,set
84,overrides
85,appends
86,make
87,is tested
88,shows
89,is tested
90,matches
91,identify
92,is set as
93,enabled
94,set
95,disabled
96,enabled
97,is detecting
98,sends
99,is detecting
100,is detecting
101,is detecting
102,is detecting
103,is settting